lang,坏搭配,好搭配,来源证据,备注
de,"beeindruckende 4-mal schneller","bis zu 4-mal schneller / 4× schneller（客观陈述，去掉 aufgeblasen 副词）","judge 基线 [4][7] 一致批评（de-munich-engineer: 'aufgeblasene Übersetzungs-Marketing'）","营销副词直译是 de 机翻味最高频 pattern"
de,"Express Karte（无连字符）","Express-Karte","judge 基线 [1] 批评（'Express Karte ohne Bindestrich'）","复合词连字符是 de 既有 rules 已覆盖，此处是漏网实例"
de,"10,000 Steckzyklen / 1.5m / 1m（英文数字格式）","10.000 Steckzyklen / 1,5 m / 1 m（de 千分位用点，小数用逗号，单位前空格）","judge 基线 [10] 批评（'englische Zahlen- und Einheitenschreibweisen'）","数字格式本地化是形式问题，postProcessEuropeanNumbers 应覆盖但未拦截此形态"
de,"Einrichtungen mit Tausenden von unterschiedlichen Kameras（长定语硬前置）","mit Tausenden verschiedener Kameras（拆分/重组，避免 mit...von 堆叠）","judge 基线 [12] 批评（'klingt wie direkt aus dem Englischen'）","英文 with 从句硬翻成德文 mit 短语是结构镜像典型"
es,"Suba de nivel su experiencia","Mejore su experiencia / Lleve su experiencia al siguiente nivel","judge 基线 [7] 两条独立批评（'el típico calco'）","level-up 直译是 es 机翻味最高频 pattern"
es,"Extras para su tranquilidad","Extras para mayor tranquilidad / Extras que le dan tranquilidad","judge 基线 [2][11] 批评","Peace of Mind 直译 calco"
es,"ofrecen velocidades de hasta X","alcanzan velocidades de hasta X / con velocidades de hasta X","judge 基线 [4] 批评（'suenan a marketing traducido'）","offer 直译 calco"
es,"10,000 / 1.5m（英文数字格式）","10.000 / 1,5 m（es 千分位用点，小数用逗号）","judge 基线 [10] 批评","同 de，数字格式本地化"
ru,"впечатляюще в 4 раза быстрее","до 4 раз быстрее / в 4 раза быстрее（去掉 впечатляюще 营销副词）","judge 基线 [4][7] 两条独立批评（'маркетинговая калька'）","营销副词直译是 ru 机翻味最高频 pattern"
ru,"революционная производительность","новый уровень производительности / прорывная скорость","judge 基线 [2][4] 批评","revolutionary 直译 calco"
ru,"хост-устройства / текущие консоли","устройства / совместимые консоли","judge 基线 [6] 批评（'не по-русски'）","host/current 术语直译"
ru,"1m, 30min, 10,000, 15000Gauss（英文格式）","1 м, 30 мин, 10 000, 15000 Гс（单位俄语化+空格）","judge 基线 [10] 批评（'сырой перевод без русской вёрстки'）","单位未本地化是 ru 高频问题，postProcessRussian 只覆盖 GB/MB/TB 未覆盖 min/Gauss"
tr,"Hafıza Kartı Lexar...（品类词前置英文语序）","Lexar... Hafıza Kartı（品类词后置，土耳其语 OV 语序）","judge 基线 [1] 批评（'ürün adı sıralaması çeviri kokuyor'）","产品名语序是 tr 机翻味最高频 pattern，与产品名生成器语序模板相关"
tr,"seviye atlat（level-up 直译）","bir üst seviyeye taşı / geliştir","judge 基线 [2][7] 批评","同 es level-up calco"
tr,"ana cihaz（host 直译）","cihaz / ana ünite","judge 基线 [6] 批评（'fazla teknik ve çevrilmiş'）","host 术语直译"
tr,"dayanıklı 重复堆叠","合并为 tek bir dayanıklılık ifadesi 或换同义词","judge 基线 [10] 批评","英文 waterproof/wearproof/temperature-proof 排比硬翻成同一词重复"
