中文SC,英文EN,德 DE,法 FR,荷兰语NL,意大利 IT,西班牙 ES,葡萄牙语PT,俄语RU,波兰语PL,日语,繁体中文TC,韩语,,,,,,,
快速入门指南,Quick Start Guide,Schnellstartanleitung,Guide de démarrage rapide,Snelstartgids,Guida di avvio rapido,Guía de inicio rápido,Guia de início rápido,Краткое руководство,Skrócona instrukcja obsługi,クイックスタートガイド,快速入門指南,빠른 시작 가이드,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.连接电源并完成相框设置,1. Plug in and set up the frame,1. Rahmen anschließen und einrichten,1. Branchez le cadre et terminez la configuration,1. Sluit de fotolijst aan en voltooi de installatie,1. Collega la cornice e completa la configurazione,1. Conecta el marco y completa la configuración,1. Ligue a moldura e configure-a,1. Подключите фоторамку и завершите настройку,1. Podłącz ramkę i zakończ konfigurację,"1. 電源に接続して設定を完了します
",1. 連接電源並完成相框設定,1. 전원을 연결하고 설정을 완료하세요,,,,,,,
"连接电源。
按照屏幕提示完成相框设置。

相框接通电源后会自动开机。","Connect the power adapter.
Follow the on-screen instructions to complete setup.

The frame turns on automatically when plugged in.","Schließen Sie das Netzteil an.
Folgen Sie den Anweisungen auf dem Bildschirm, um die Einrichtung abzuschließen.

Der Rahmen schaltet sich automatisch ein, sobald er angeschlossen wird.","Branchez l’adaptateur secteur.
Suivez les instructions à l’écran pour terminer la configuration.

Le cadre s’allume automatiquement lorsqu’il est branché.","Sluit de stroomadapter aan.
Volg de instructies op het scherm om de installatie te voltooien.

De fotolijst wordt automatisch ingeschakeld zodra deze is aangesloten.","Collega l’alimentatore.
Segui le istruzioni sullo schermo per completare la configurazione.

La cornice si accende automaticamente quando viene collegata.","Conecta el adaptador de corriente.
Sigue las instrucciones en pantalla para completar la configuración.

El marco se enciende automáticamente al conectarlo.","Ligue o adaptador de energia.
Siga as instruções na tela para concluir a configuração.

A moldura liga automaticamente quando é conectada à energia.","Подключите адаптер питания.
Следуйте инструкциям на экране, чтобы завершить настройку.

Фоторамка включится автоматически при подключении к питанию.","Podłącz zasilacz.
Postępuj zgodnie z instrukcjami na ekranie, aby zakończyć konfigurację.

Ramka włączy się automatycznie po podłączeniu do zasilania.","電源アダプターを接続します。
画面の指示に従って設定を完了します。

電源に接続すると、自動的に電源が入ります。","連接電源。
按照螢幕提示完成相框設定。

相框接通電源後會自動開機。","전원 어댑터를 연결하세요.
화면의 안내에 따라 설정을 완료하세요.

전원을 연결하면 자동으로 켜집니다.",,,,,,,
,,,,,,,,,,,,,,,,,,,
2．添加相框,2. Add your frame,2. Rahmen hinzufügen,2. Ajouter votre cadre,2. Uw fotolijst toevoegen,2. Aggiungi la cornice,2. Añadir el marco,2. Adicionar a moldura,2. Добавьте фоторамку,2. Dodaj ramkę,2. フレームを追加する,2．新增相框,2. 프레임 추가하기,,,,,,,
下载并安装Frameo App。,Download and install the Frameo App.,Laden Sie die Frameo App herunter und installieren Sie sie.,Téléchargez et installez l’app Frameo.,Download en installeer de Frameo-app.,Scarica e installa l’app Frameo.,Descarga e instala la app Frameo.,Baixe e instale o app Frameo.,Скачайте и установите приложение Frameo.,Pobierz i zainstaluj aplikację Frameo.,Frameoアプリをダウンロードしてインストールします。,下載並安裝 Frameo App。,Frameo 앱을 다운로드하고 설치하세요.,,,,,,,
"打开 App，登录或创建账户。
使用相框代码添加相框。","Open the app and sign in or create an account.
Add your frame using the frame code.","Öffnen Sie die App und melden Sie sich an oder erstellen Sie ein Konto.
Fügen Sie Ihren Rahmen mit dem Rahmen-Code hinzu.","Ouvrez l’app, connectez-vous ou créez un compte.
Ajoutez votre cadre à l’aide du code du cadre.","Open de app en meld u aan of maak een account aan.
Voeg uw fotolijst toe met de framecode.","Apri l’app ed effettua l’accesso oppure crea un account.
Aggiungi la cornice utilizzando il codice della cornice.","Abre la app, inicia sesión o crea una cuenta.
Añade el marco utilizando el código del marco.","Abra o app, inicie sessão ou crie uma conta.
Adicione a moldura utilizando o código da moldura.","Откройте приложение, войдите в аккаунт или создайте новый.
Добавьте фоторамку с помощью кода рамки.","Otwórz aplikację, zaloguj się lub utwórz konto.
Dodaj ramkę, używając kodu ramki.","アプリを開き、ログインするかアカウントを作成します。
フレームコードを使用してフレームを追加します。","開啟 App，登入或建立帳戶。
使用相框代碼新增相框。","앱을 열고 로그인하거나 계정을 생성하세요.
프레임 코드를 사용해 프레임을 추가하세요.",,,,,,,
3．添加照片与视频到相框,3. Add photos and videos to the frame,3. Fotos und Videos zum Rahmen hinzufügen,3. Ajouter des photos et des vidéos au cadre,3. Foto’s en video’s toevoegen aan de fotolijst,3. Aggiungere foto e video alla cornice,3. Añadir fotos y vídeos al marco,3. Adicionar fotos e vídeos à moldura,3. Добавьте фотографии и видео на фоторамку,3. Dodaj zdjęcia i filmy do ramki,3. 写真と動画をフレームに追加する,3．將照片與影片新增至相框,3. 사진과 동영상을 프레임에 추가하기,,,,,,,
打开 Frameo App，选择照片和视频并发送到相框。,"Open the Frameo App, select photos and videos, and send them to the frame.","Öffnen Sie die Frameo App, wählen Sie Fotos und Videos aus und senden Sie sie an den Rahmen.","Ouvrez l’app Frameo, sélectionnez des photos et des vidéos, puis envoyez-les au cadre.","Open de Frameo-app, selecteer foto’s en video’s en stuur ze naar de fotolijst.","Apri l’app Frameo, seleziona foto e video e inviali alla cornice.","Abre la app Frameo, selecciona fotos y vídeos y envíalos al marco.","Abra o app Frameo, selecione fotos e vídeos e envie-os para a moldura.","Откройте приложение Frameo, выберите фотографии и видео и отправьте их на фоторамку.","Otwórz aplikację Frameo, wybierz zdjęcia i filmy, a następnie wyślij je do ramki.",Frameoアプリを開き、写真と動画を選択してフレームに送信します。,開啟 Frameo App，選擇照片和影片並傳送至相框。,Frameo 앱을 열고 사진과 동영상을 선택한 후 프레임으로 전송하세요.,,,,,,,
