source,zh-CN,zh-TW,ja,ko,fr,de,es,pt,pt-BR,ru,it,vi,th,id,ar,nl,pl,sv,tr,en
4X Faster than USB 3.0,速度高达 USB 3.0 的 4 倍,速度高達 USB 3.0 的 4 倍,USB 3.0の4倍の速度,USB 3.0보다 4배 빠른 속도,4 fois plus rapide que l'USB 3.0,4x schneller als USB 3.0,4 veces más rápido que USB 3.0,4 vezes mais rápido que o USB 3.0,4 vezes mais rápido que o USB 3.0,В 4 раза быстрее USB 3.0,4 volte più veloce di USB 3.0,Nhanh gấp 4 lần USB 3.0,เร็วกว่า USB 3.0 ถึง 4 เท่า,4X Lebih Cepat dari USB 3.0,أسرع 4 مرات من USB 3.0,4x sneller dan USB 3.0,4 razy szybciej niż USB 3.0,4X snabbare än USB 3.0,USB 3.0'dan 4 Kat Daha Hızlı,4X Faster than USB 3.0
AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO,AMD EXPO
CAS Latency,CAS 延迟,CAS 延遲,CASレイテンシ,CAS 레이턴시,Latence CAS,CAS-Latenz,Latencia CAS,Latência CAS,Latência CAS,Задержка CAS,Latenza CAS,Độ trễ CAS,ค่า CAS Latency,Latensi CAS,زمن استجابة CAS,CAS-latentie,Opóźnienie CAS,CAS-latens,CAS Gecikmesi,CAS Latency
CFexpress™ Type A,CFexpress™ Type A,CFexpress™ Type A,CFexpress™ Type A,CFexpress™ Type A,CFexpress™ Type A,CFexpress™ Type A,CFexpress™ Tipo A,CFexpress™ Tipo A,CFexpress™ Tipo A,CFexpress™ Type A,CFexpress™ Tipo A,CFexpress™ Loại A,CFexpress™ Type A,CFexpress™ Tipe A,CFexpress™ النوع A,CFexpress™ Type A,CFexpress™ Typ A,CFexpress™ Typ A,CFexpress™ Tip A,CFexpress™ Type A
CFexpress™ Type B,CFexpress™ Type B,CFexpress™ Type B,CFexpress™ Type B,CFexpress™ Type B,CFexpress™ Type B,CFexpress™ Type B,CFexpress™ Tipo B,CFexpress™ Tipo B,CFexpress™ Tipo B,CFexpress™ Type B,CFexpress™ Tipo B,CFexpress™ Loại B,CFexpress™ Type B,CFexpress™ Tipe B,CFexpress™ النوع B,CFexpress™ Type B,CFexpress™ Typ B,CFexpress™ Typ B,CFexpress™ Tip B,CFexpress™ Type B
DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM,DDR5 CUDIMM
DDR5 Performance with Powerful Heatsink,搭载高效散热马甲，释放DDR5强劲性能,搭載高效散熱片，釋放 DDR5 強勁效能,高性能ヒートシンク搭載でDDR5の性能を最大限に発揮,고성능 히트싱크로 극대화된 DDR5 성능,Performances DDR5 optimisées par un dissipateur thermique haute performance,Maximale DDR5-Performance mit leistungsstarkem Kühlkörper,Rendimiento DDR5 optimizado con un potente disipador de calor,Desempenho DDR5 otimizado com dissipador de calor de alta performance,Desempenho DDR5 otimizado com dissipador de calor de alta performance,Производительность DDR5 с мощным радиатором,Prestazioni DDR5 ottimizzate con un potente dissipatore di calore,Hiệu năng DDR5 tối ưu với tản nhiệt mạnh mẽ,ประสิทธิภาพ DDR5 พร้อมฮีตซิงก์อันทรงพลัง,Performa DDR5 dengan Heatsink yang Tangguh,أداء DDR5 مع مشتت حراري قوي,DDR5-prestaties met krachtig koellichaam,Wydajność DDR5 z potężnym radiatorem,DDR5-prestanda med kraftfull kylfläns,Güçlü Soğutucu Bloğa Sahip DDR5 Performansı,DDR5 Performance with Powerful Heatsink
DRAM Cache,独立DRAM高速缓存,獨立 DRAM 快取,DRAMキャッシュ,DRAM 캐시,Cache DRAM,DRAM-Cache,Caché DRAM,Cache DRAM,Cache DRAM,DRAM-кэш,Cache DRAM,Bộ nhớ đệm DRAM,แคช DRAM,Cache DRAM,ذاكرة تخزين مؤقت DRAM,DRAM-cache,Pamięć podręczna DRAM,DRAM-cache,DRAM Önbellek,DRAM Cache
Dynamic SLC Caching,动态SLC缓存,動態 SLC 快取,ダイナミックSLCキャッシング,동적 SLC 캐싱,Mise en cache SLC dynamique,Dynamisches SLC-Caching,Caché SLC dinámica,Cache SLC dinâmica,Cache SLC dinâmica,Динамическое SLC-кэширование,Cache SLC dinamica,Bộ nhớ đệm SLC động,SLC Caching แบบไดนามิก,Caching SLC Dinamis,تخزين مؤقت ديناميكي بتقنية SLC,Dynamische SLC-caching,Dynamiczne buforowanie SLC,Dynamisk SLC-cachning,Dinamik SLC Önbelleğe Alma,Dynamic SLC Caching
Frame Drop,掉帧,掉幀,コマ落ち,프레임 드롭,Perte d'images,Frame-Drops,Pérdida de fotogramas,Perda de quadros,Perda de quadros,Потеря кадров,Perdita di frame,Rớt frame,เฟรมหลุด,Kehilangan frame,فقدان الإطارات,Frameverlies,Gubienie klatek,Bildrutesfall,Kare Kaybı,Frame Drop
Heat-Defying 6nm Controller,6nm主控芯片，无惧高温,6nm 主控晶片，無懼高溫,高温に強い6nmコントローラー,발열에 강한 6nm 컨트롤러,Contrôleur 6 nm résistant aux hautes températures,Hitzebeständiger 6-nm-Controller,Controlador de 6 nm resistente a altas temperaturas,Controlador de 6 nm resistente a altas temperaturas,Controlador de 6 nm resistente a altas temperaturas,Термостойкий 6-нм контроллер,Controller a 6 nm resistente alle alte temperature,Controller 6nm chịu nhiệt tốt,คอนโทรลเลอร์ 6nm ทนความร้อนสูง,Kontroler 6nm Tahan Panas,وحدة تحكم بدقة 6 نانومتر تتحدى الحرارة,Hittebestendige 6nm-controller,Odporny na wysokie temperatury kontroler w procesie 6 nm,Värmetålig 6nm-kontroller,Isıya Meydan Okuyan 6nm Kontrolcü,Heat-Defying 6nm Controller
Heatsink,散热马甲,散熱片,ヒートシンク,히트싱크,Dissipateur thermique,Kühlkörper,Disipador de calor,Dissipador de calor,Dissipador de calor,Радиатор,Dissipatore di calore,Tản nhiệt,ฮีตซิงก์,Heatsink,مشتت حراري,Koellichaam,Radiator,Kylfläns,Soğutucu,Heatsink
Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0,Intel XMP 3.0
LPDDR5X,LPDDR5X 低功耗内存,LPDDR5X 低功耗記憶體,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X,LPDDR5X
MTBF,MTBF（平均无故障时间）,MTBF（平均無故障時間）,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF,MTBF
NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0,NVMe 2.0
On-die ECC,片内ECC硬件纠错,晶粒內建 ECC 偵錯機制,オンダイECC,온다이 ECC,ECC sur puce,On-Die-ECC,ECC integrado,ECC integrado,ECC integrado,ECC на кристалле,ECC on-die,ECC tích hợp trên chip,On-die ECC,ECC On-die,تصحيح أخطاء ECC مدمج في الشريحة,On-die ECC,Wbudowane ECC,On-die ECC,Çip Üzeri ECC,On-die ECC
PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0,PCIe 3.0
PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0,PCIe 4.0
PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0,PCIe 5.0
PCIe Gen 4x4,PCIe Gen4x4,PCIe Gen4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4,PCIe Gen 4x4
PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4,PCIe Gen3x4
PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4,PCIe Gen5x4
Random Read/Write,随机读写,隨機讀寫,ランダム読み書き,랜덤 읽기/쓰기,Lecture/écriture aléatoires,Zufälliges Lesen/Schreiben,Lectura/escritura aleatorias,Leitura/escrita aleatória,Leitura/escrita aleatória,Случайное чтение/запись,Lettura/scrittura casuali,Đọc/ghi ngẫu nhiên,อ่าน/เขียนสุ่ม,Baca/Tulis Acak,قراءة و كتابة عشوائية,Willekeurig lezen/schrijven,Losowy odczyt/zapis,Slumpmässig läsning/skrivning,Rastgele Okuma/Yazma,Random Read/Write
Read Speed,读取速度,讀取速度,読み取り速度,읽기 속도,Vitesse de lecture,Lesegeschwindigkeit,Velocidad de lectura,Velocidade de leitura,Velocidade de leitura,Скорость чтения,Velocità di lettura,Tốc độ đọc,ความเร็วอ่าน,Kecepatan Baca,سرعة القراءة,Leessnelheid,Prędkość odczytu,Läshastighet,Okuma Hızı,Read Speed
Seamlessly compatible with Intel XMP 3.0 & AMD EXPO for one-click overclocking.,无缝兼容 Intel XMP 3.0 与 AMD EXPO，实现一键超频。,無縫相容 Intel XMP 3.0 與 AMD EXPO，實現一鍵超頻。,Intel XMP 3.0およびAMD EXPOとシームレスに互換し、ワンクリックでオーバークロック可能。,Intel XMP 3.0 및 AMD EXPO와 완벽하게 호환되어 원클릭 오버클러킹 지원.,Compatibilité transparente avec Intel XMP 3.0 et AMD EXPO pour un overclocking en un clic.,Nahtlos kompatibel mit Intel XMP 3.0 und AMD EXPO für Ein-Klick-Overclocking.,Totalmente compatible con Intel XMP 3.0 y AMD EXPO para realizar overclocking con un solo clic.,Totalmente compatível com Intel XMP 3.0 e AMD EXPO para overclock com um clique.,Totalmente compatível com Intel XMP 3.0 e AMD EXPO para overclock com um clique.,Полная совместимость с Intel XMP 3.0 и AMD EXPO для разгона в один клик.,Pienamente compatibile con Intel XMP 3.0 e AMD EXPO per l'overclock con un clic.,Tương thích hoàn hảo với Intel XMP 3.0 và AMD EXPO để ép xung chỉ bằng một cú nhấp chuột.,เข้ากันได้แบบไร้รอยต่อกับ Intel XMP 3.0 และ AMD EXPO เพื่อการโอเวอร์คล็อกด้วยคลิกเดียว,Kompatibel secara mulus dengan Intel XMP 3.0 & AMD EXPO untuk overclocking satu klik.,متوافق بسلاسة مع Intel XMP 3.0 و AMD EXPO لرفع تردد التشغيل بنقرة واحدة.,Naadloos compatibel met Intel XMP 3.0 en AMD EXPO voor overklokken met één klik.,Bezproblemowa kompatybilność z Intel XMP 3.0 i AMD EXPO umożliwiająca podkręcanie jednym kliknięciem.,Sömlöst kompatibel med Intel XMP 3.0 och AMD EXPO för överklockning med ett klick.,"Intel XMP 3.0 ve AMD EXPO ile tam uyumlu, tek tıkla hız aşırtma.",Seamlessly compatible with Intel XMP 3.0 & AMD EXPO for one-click overclocking.
SLC Cache,SLC缓存,SLC 快取,SLCキャッシュ,SLC 캐시,Cache SLC,SLC-Cache,Caché SLC,Cache SLC,Cache SLC,SLC-кэш,Cache SLC,Bộ nhớ đệm SLC,แคช SLC,Cache SLC,ذاكرة تخزين مؤقت SLC,SLC-cache,Pamięć podręczna SLC,SLC-cache,SLC Önbellek,SLC Cache
Speed Drop,掉速,掉速,速度低下,속도 저하,Chute de vitesse,Geschwindigkeitsabfall,Caída de velocidad,Queda de velocidade,Queda de velocidade,Падение скорости,Calo di velocità,Giảm tốc độ,ความเร็วตก,Penurunan kecepatan,انخفاض السرعة,Snelheidsdaling,Spadek prędkości,Hastighetsminskning,Hız Düşüşü,Speed Drop
Sustained Read/Write,持续读写,持續讀寫,持続読み書き,지속 읽기/쓰기,Lecture/écriture soutenues,Kontinuierliches Lesen/Schreiben,Lectura/escritura sostenidas,Leitura/escrita sustentada,Leitura/escrita sustentada,Постоянное чтение/запись,Lettura/scrittura sostenute,Đọc/ghi liên tục,อ่าน/เขียนต่อเนื่อง,Baca/Tulis Berkelanjutan,قراءة و كتابة مستمرة,Doorlopend lezen/schrijven,Ciągły odczyt/zapis,Löpande läsning/skrivning,Sürekli Okuma/Yazma,Sustained Read/Write
TBW,TBW（总写入量）,TBW（總寫入量）,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW,TBW
TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND,TLC NAND
Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Tipo-C,Tipo-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C,Type-C
UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II,UHS-II
