Product Name,Category/Content Type,Picture,Source Language,German (Germany),Spanish (Spain,French (France),Italian (Italy),,,,,,,,,,,,
Lexar® microSD/SD USB-A/C Card Reader RW360,reader,,Double-Duty Fast Transfers on the Go,Schnelle Übertragung mit 2 Karten,Transferencias rápidas y versátiles en cualquier lugar,Double usage Transferts rapides en déplacement,Trasferimenti veloci a doppia funzione in viaggio,,,,,,,,,,,,
,,,Lexar® microSD/SD USB-A/C Card Reader RW360,Lexar® microSD/SD USB-A/C-Kartenleser RW360,Lector de tarjetas microSD/SD USB-A/C Lexar® RW360,Lecteur de cartes Lexar® microSD/SD USB-A/C RW360,Lettore di schede microSD/SD USB-A/C RW360 Lexar®,,,,,,,,,,,,
,,,Read Speed up to,Lesegeschwindigkeit bis zu,Velocidad de lectura de hasta,Vitesse de lecture allant jusqu'à,Velocità di lettura fino a,,,,,,,,,,,,
,,,"2 Cards Work Simultaneously
",2 Karten funktionieren gleichzeitig,Admite 2 tarjetas simultáneamente,Lecture simultanée de 2 cartes,Utilizzo simultaneo di 2 schede,,,,,,,,,,,,
,,,USB-A/C 2-in-1,USB-A/C 2-in-1,USB-A/C 2 en 1,USB-A/C 2-en-1,USB-A/C 2-in-1,,,,,,,,,,,,
,,,Support Cards up to,Unterstützt Karten bis zu,Admite tarjetas de hasta,Prise en charge de cartes jusqu'à,Supporta schede fino a,,,,,,,,,,,,
,,,"Blazing-fast Transfers Anytime, Anywhere",Blitzschnelle übertragung – jederzeit und überall,Transferencias ultrarrápidas en cualquier momento y lugar,"Des transferts ultra-rapides, où que vous soyez","Velocità di trasferimento super, sempre e ovunque",,,,,,,,,,,,
,,,USB 3.2 Gen 1 technology lets you quickly transfer even large files with read speeds up to 255MB/s¹ when paired with the Lexar SILVER PLUS SDXC™ card and up to 225MB/s¹ when paired with the Lexar SILVER SDXC card – accelerating your workflow to 245% faster².,Mit Lesegeschwindigkeiten von bis zu 255 MB/s¹ in Verbindung mit der Lexar SILVER PLUS SDXC™-Karte und bis zu 225 MB/s¹ in Verbindung mit der Lexar SILVER SDXC-Karte können Sie mit der USB 3.2 Gen 1-Technologie selbst große Dateien schnell übertragen und Ihren Workflow um 245 % beschleunigen².,"La tecnología USB 3.2 Gen 1 permite transferir rápidamente incluso archivos grandes con velocidades de lectura de hasta 255 MB/s¹ al usar la tarjeta SDXC™ Lexar SILVER PLUS y de hasta 225 MB/s¹ al usar la Lexar SILVER, lo que acelera tu flujo de trabajo hasta un 245 %².","La technologie USB 3.2 Gen 1 permet un transfert rapide, même de fichiers volumineux, avec des vitesses de lecture allant jusqu'à 255 Mo/s¹ avec la carte Lexar SILVER PLUS SDXC™, et jusqu'à 225 Mo/s¹ avec la carte Lexar SILVER SDXC, ainsi votre flux de travail est jusqu'à 245 % plus rapide².","La tecnologia USB 3.2 Gen 1 consente di trasferire rapidamente anche file di grandi dimensioni con velocità di lettura fino a 255 MB/s¹ se associata alla scheda Lexar SILVER PLUS SDXC™ e fino a 225 MB/s¹ se associata alla scheda Lexar SILVER SDXC, accelerando il flusso di lavoro fino al 245% in più rispetto alla velocità standard².",,,,,,,,,,,,
,,,Read speed increase 245%,Erhöhung der Lesegeschwindigkeit um 245 %,Aumento de la velocidad de lectura del 245 %,Augmentation de la vitesse de lecture de 245 %,Aumento della velocità di lettura del 245%,,,,,,,,,,,,
,,,SD/TF4.0   255MB/s,SD/TF4.0 255MB/s,SD/TF4.0: 255 MB/s,SD/TF4.0 255 Mo/s,SD/TF4.0 255 MB/s,,,,,,,,,,,,
