Product Name,Category/Content Type,Picture,Source Language,German (Germany),Spanish (Spain,French (France),Italian (Italy),Japanese (Japan),,,,,,,,,,,
"SL500
AFA",website and  AMZ listing,,Capture the Glory,Triumphe festhalten,Captura la gloria,Capturez la gloire,Cattura ogni istante di gloria,栄光をつかむ,,,,,,,,,,,
,,,Lexar® SL500 Portable SSD,Lexar® SL500 Tragbare SSD,SSD portátil Lexar® SL500,SSD portable Lexar® SL500,SSD Portatile Lexar® SL500,Lexar® SL500ポータブルSSD,,,,,,,,,,,
,,,Elite Legends Series,Elite Legends-Serie,Serie Elite Legends,Série Elite Legends,Serie Elite Legends,Elite Legendsシリーズ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Built for Champions,Für Champions gemacht,Diseñado para los campeones,Conçue pour les champions,Creata per i campioni,チャンピオンのために設計,,,,,,,,,,,
,,,"Lexar Elite Legends Series is engineered to reflect the Argentine Football Association’s elite standards, honoring their legendary championship journey.","Die Lexar Elite Legends Series wurde passend zu den Elite-Standards des argentinischen Fußballverbandes entwickelt, um ihren legendären Weg zur Meisterschaft zu würdigen.","La serie Elite Legends de Lexar está diseñada para reflejar los estándares de excelencia de la Asociación del Fútbol Argentino, rindiendo homenaje su legendaria historia.","La série Lexar Elite Legends est conçue pour refléter les normes d'élite de la fédération de football d'Argentine, en hommage à leur légendaire parcours au plus haut niveau.","La Serie Lexar Elite Legends è progettata per riflettere gli standard d'eccellenza dell'Associazione del Calcio Argentino, rendendo omaggio allo storico percorso di questi campioni.",Lexar Elite Legendsシリーズは、アルゼンチンサッカー協会のエリート基準を反映して設計されており、その伝説的なチャンピオンシップの軌跡に敬意を表しています。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Designed for the Legendary,Für Legenden entwickelt,Diseñado para las leyendas,Conçue pour la légende,Progettata per le leggende,伝説を体現するデザイン,,,,,,,,,,,
,,,"Argentine Football Association Design, inspired by Argentina’s iconic blue and white stripes and the legendary Number 10. ",Das Design wurde vom argentinischen Fußballverband und den legendären blau-weißen Streifen und der legendären Nummer 10 inspiriert.,Diseño de la Asociación del Fútbol Argentino inspirado en las icónicas rayas azules y blancas de Argentina y el legendario número 10.,"Design de la fédération de football d'Argentine (AFA), inspiré des rayures bleues et blanches emblématiques de l'Argentine et de son légendaire numéro 10.","Design ufficiale dell'Associazione del Calcio Argentino, ispirato alle iconiche strisce bianco‑azzurre e all'indimenticabile Numero 10.",アルゼンチンを象徴する青と白のストライプと伝説的な背番号10をイメージしたアルゼンチンサッカー協会デザイン。,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Pocket-sized ,Taschenformat,Tamaño de bolsillo,Format de poche,Design tascabile,ポケットに収まるサイズ,,,,,,,,,,,
,,,Match-Winning Speed ,Meisterhafte Geschwindigkeit,Velocidad ganadora,La vitesse qui fait la différence,Velocità che fa la differenza in partita,試合に勝つスピード,,,,,,,,,,,
,,,Automatic Photo Backups,Automatische Fotosicherung,Copias de seguridad automáticas de fotos,Sauvegardes automatiques de photos,Backup automatici delle foto,写真の自動バックアップ,,,,,,,,,,,
,,,Game-Ready for Creators,Bereit für Fußballcontent,Perfecto para creadores,Optimisé pour le gaming pour les créateurs,Design ottimizzato per i creator,クリエイター向けのゲーム対応,,,,,,,,,,,
,,,Plays Nicely with all Your Devices,Kommt mit all Ihren Geräten zurecht,Juega en equipo con todos tus dispositivos,S'accorde avec tous vos appareils,Funziona bene su tutti i tuoi dispositivi,すべてのデバイスで快適に動作,,,,,,,,,,,
,,,Secure Every Winning Moment,Fangen Sie jeden triumphalen Moment ein,Conserva cada momento ganador,Ne perdez aucun moment gagnant,Custodisci ogni momento vincente,すべての勝利の瞬間を保護,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Match-Winning Speed ,Meisterhafte Geschwindigkeit,Velocidad ganadora,La vitesse qui fait la différence,Velocità che fa la differenza in partita,試合に勝つスピード,,,,,,,,,,,
,,,"Blazing-fast speeds of up to 2000MB/s* read and 1800MB/s* write can quickly capture every pass, shot, and goal. ","Mit blitzschnellen Geschwindigkeiten von bis zu 2000 MB/s* (Lesen) und 1800 MB/s* (Schreiben) fangen Sie jeden Pass, jeden Schuss und jedes Tor ein.","Las velocidades ultrarrápidas de hasta 2000 MB/s* de lectura y 1800 MB/s* de escritura pueden capturar rápidamente cada pase, tiro y gol.","Des vitesses ultra-rapides allant jusqu'à 2 000 Mo/s* en lecture et 1 800 Mo/s* en écriture permettent de capturer rapidement chaque passe, chaque tir et chaque but.","Fino a 2000 MB/s* in lettura e 1800 MB/s* in scrittura, per acquisire rapidamente ogni azione: passaggi, conclusioni e gol.",最大リード2000 MB/s*および最大ライト1800 MB/s*の高速処理で、試合中のパス、シュート、ゴールを逃すことなく瞬時にキャプチャできます。,,,,,,,,,,,
